Titre,Entreprise,Ville,Contrat,Date,Ville_propre,Departement,Contrat_propre,texte_complet,cluster_metier,high_demand,pred_high_demand
Directeur de Marché - Région - Nord E1 H/F Kone,Kone,Reims - 51,CDI,il y a 20 heures,Reims,51.0,CDI,Directeur de Marché - Région - Nord E1 H/F Kone Kone Reims CDI,3,1,1
Ingénieur Génie Civil H/F Orano,Orano,La Hague - 50,CDI,il y a 20 heures,La Hague,50.0,CDI,Ingénieur Génie Civil H/F Orano Orano La Hague CDI,2,0,0
Service Team Leader Doors H/F Kone,Kone,Belgique,CDI,il y a 20 heures,,,CDI,Service Team Leader Doors H/F Kone Kone  CDI,3,1,1
Technicien SSI H/F Eryma Sas,Eryma Sas,Couëron - 44,CDI,il y a 20 heures,Couëron,44.0,CDI,Technicien SSI H/F Eryma Sas Eryma Sas Couëron CDI,3,1,1
Educateur Spécialisé H/F Fondation de la maison du Diaconat,Fondation de la maison du Diaconat,Mulhouse - 68,CDI,il y a 20 heures,Mulhouse,68.0,CDI,Educateur Spécialisé H/F Fondation de la maison du Diaconat Fondation de la maison du Diaconat Mulhouse CDI,3,1,1
Actuaire Risques H/F Thélem assurances,Thélem assurances,Chécy - 45,CDI,il y a 20 heures,Chécy,45.0,CDI,Actuaire Risques H/F Thélem assurances Thélem assurances Chécy CDI,3,1,1
Electricien·ne Tertiaire H/F Groupe Fauché,Groupe Fauché,Agen - 47,CDI,il y a 20 heures,Agen,47.0,CDI,Electricien·ne Tertiaire H/F Groupe Fauché Groupe Fauché Agen CDI,3,1,1
Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché,Groupe Fauché,Marmande - 47,CDI,il y a 20 heures,Marmande,47.0,CDI,Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché Groupe Fauché Marmande CDI,3,1,1
Référent des Prestataires de Service H/F Mondial Relay by InPost,Mondial Relay by InPost,Villeneuve-d'Ascq - 59,CDI,il y a 20 heures,Villeneuve-d'Ascq,59.0,CDI,Référent des Prestataires de Service H/F Mondial Relay by InPost Mondial Relay by InPost Villeneuve-d'Ascq CDI,3,1,1
Responsable d'Atelier - le Havre H/F Loxam,Loxam,Le Havre - 76,CDI,il y a 20 heures,Le Havre,76.0,CDI,Responsable d'Atelier - le Havre H/F Loxam Loxam Le Havre CDI,3,1,1
Tuyauteur H/F Actemium - Cegelec Pau,Actemium - Cegelec Pau,Pardies - 64,CDI,il y a 20 heures,Pardies,64.0,CDI,Tuyauteur H/F Actemium - Cegelec Pau Actemium - Cegelec Pau Pardies CDI,3,1,1
Manager Equipe Commerciale H/F Maison Thiriet,Maison Thiriet,Appoigny - 89,CDI,il y a 20 heures,Appoigny,89.0,CDI,Manager Equipe Commerciale H/F Maison Thiriet Maison Thiriet Appoigny CDI,3,1,1
Animateur QHSE H/F Terrena,Terrena,Noyant-Villages - 49,CDI,il y a 20 heures,Noyant-Villages,49.0,CDI,Animateur QHSE H/F Terrena Terrena Noyant-Villages CDI,3,1,1
Directeur de Magasin Super Idf H/F Auchan Retail France,Auchan Retail France,Sartrouville - 78,CDI,il y a 20 heures,Sartrouville,78.0,CDI,Directeur de Magasin Super Idf H/F Auchan Retail France Auchan Retail France Sartrouville CDI,0,0,0
Analyste Fonctionnel Si Comptable H/F Cogep,Cogep,Bourges - 18,CDI,il y a 20 heures,Bourges,18.0,CDI,Analyste Fonctionnel Si Comptable H/F Cogep Cogep Bourges CDI,3,1,1
Conseiller de Vente Alimentaire Stand Charcuterie - Fromage H/F Auchan Retail France,Auchan Retail France,Avignon - 84,CDI,il y a 20 heures,Avignon,84.0,CDI,Conseiller de Vente Alimentaire Stand Charcuterie - Fromage H/F Auchan Retail France Auchan Retail France Avignon CDI,0,0,0
Responsable des Projets de Transformation One Safran Apqp & Aero Excellence H/F Safran,Safran,Malakoff - 92,CDI,il y a 20 heures,Malakoff,92.0,CDI,Responsable des Projets de Transformation One Safran Apqp & Aero Excellence H/F Safran Safran Malakoff CDI,3,1,1
Actuaire Risques H/F Thélem assurances,Thélem assurances,Chécy - 45,CDI,il y a 20 heures,Chécy,45.0,CDI,Actuaire Risques H/F Thélem assurances Thélem assurances Chécy CDI,3,1,1
Electricien·ne Tertiaire H/F Groupe Fauché,Groupe Fauché,Agen - 47,CDI,il y a 20 heures,Agen,47.0,CDI,Electricien·ne Tertiaire H/F Groupe Fauché Groupe Fauché Agen CDI,3,1,1
Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché,Groupe Fauché,Marmande - 47,CDI,il y a 20 heures,Marmande,47.0,CDI,Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché Groupe Fauché Marmande CDI,3,1,1
Référent des Prestataires de Service H/F Mondial Relay by InPost,Mondial Relay by InPost,Villeneuve-d'Ascq - 59,CDI,il y a 20 heures,Villeneuve-d'Ascq,59.0,CDI,Référent des Prestataires de Service H/F Mondial Relay by InPost Mondial Relay by InPost Villeneuve-d'Ascq CDI,3,1,1
Responsable d'Atelier - le Havre H/F Loxam,Loxam,Le Havre - 76,CDI,il y a 20 heures,Le Havre,76.0,CDI,Responsable d'Atelier - le Havre H/F Loxam Loxam Le Havre CDI,3,1,1
